ticket_id,created_date,issue_category,priority,first_response_minutes,resolution_time_hours,agent_experience_years,reopened,channel,customer_satisfaction
1,2024-08-24,Delivery,Low,114,62,6.0,Yes,Chat,Low
2,2024-05-07,Account,Medium,13,67,5.2,Yes,Email,Medium
3,2024-08-03,Account,Urgent,225,18,6.2,No,Phone,Low
4,2024-03-09,Delivery,High,121,23,7.0,No,Email,Low
5,2024-04-30,Technical,Urgent,162,49,0.9,Yes,Email,Low
6,2024-06-09,Other,High,142,47,7.8,Yes,Chat,Low
7,2024-09-13,Technical,Urgent,125,9,6.7,No,Email,Low
8,2024-11-06,Billing,Urgent,66,5,0.8,No,Phone,Medium
9,2024-11-03,Technical,Low,43,50,5.9,No,Email,Medium
10,2024-06-27,Delivery,Low,118,22,9.8,Yes,Chat,Low
11,2024-03-02,Account,Urgent,67,36,1.9,Yes,Chat,Low
12,2024-06-26,Account,High,47,23,7.9,No,Chat,Low
13,2024-06-12,Technical,Medium,6,70,7.3,No,Email,High
14,2024-09-10,Technical,High,119,52,6.0,No,Phone,Low
15,2024-03-26,Delivery,High,138,62,6.2,Yes,Phone,Low
16,2024-10-02,Delivery,Urgent,234,52,1.8,No,Chat,Low
17,2024-01-19,Billing,Medium,148,57,1.4,No,Chat,Low
18,2024-11-07,Delivery,Low,17,45,1.4,Yes,Chat,Medium
19,2024-06-24,Account,Medium,122,56,7.9,No,Phone,Medium
20,2024-05-01,Account,Urgent,113,43,6.7,Yes,Phone,Low
21,2024-01-13,Billing,Low,180,26,6.6,No,Chat,Medium
22,2024-01-24,Other,Urgent,222,32,7.3,Yes,Phone,Low
23,2024-03-13,Account,Low,214,37,2.0,No,Phone,Low
24,2024-02-10,Other,Urgent,240,25,9.9,Yes,Email,Low
25,2024-08-25,Other,Urgent,58,13,7.0,No,Phone,Low
26,2024-02-29,Billing,Urgent,119,72,2.5,No,Email,Low
27,2024-02-05,Delivery,Urgent,161,53,8.8,Yes,Email,Low
28,2024-04-09,Account,Low,94,33,3.9,No,Chat,Low
29,2024-07-26,Delivery,High,134,64,5.3,No,Phone,Low
30,2024-09-01,Other,High,94,36,5.1,No,Chat,Low
31,2024-03-27,Other,Low,181,70,7.3,No,Chat,Medium
32,2024-11-29,Account,Low,157,40,0.7,No,Email,Low
33,2024-05-03,Technical,Urgent,161,48,3.2,Yes,Chat,Low
34,2024-08-03,Technical,Low,147,7,2.6,Yes,Phone,Low
35,2024-10-21,Technical,Urgent,239,3,4.2,No,Phone,Medium
36,2024-01-19,Other,High,227,7,6.7,Yes,Chat,Low
37,2024-11-06,Account,Urgent,88,22,7.8,Yes,Email,Low
38,2024-02-15,Delivery,Low,190,69,5.4,No,Chat,Medium
39,2024-12-27,Delivery,High,20,19,9.3,No,Phone,Medium
40,2024-06-30,Delivery,Urgent,189,57,9.9,Yes,Chat,Low
41,2024-01-22,Technical,Urgent,104,25,1.4,Yes,Phone,Low
42,2024-10-13,Delivery,Medium,150,55,9.8,No,Email,Medium
43,2024-01-26,Other,Low,47,40,9.6,Yes,Email,Low
44,2024-01-22,Delivery,Low,167,47,8.4,No,Phone,Medium
45,2024-03-24,Technical,Urgent,24,45,7.7,No,Chat,Medium
46,2024-03-31,Other,Urgent,203,43,8.8,Yes,Phone,Low
47,2024-02-18,Delivery,Urgent,44,66,6.6,No,Email,Low
48,2024-05-28,Other,Medium,32,55,7.4,No,Phone,Medium
49,2024-09-29,Account,Low,93,67,6.4,Yes,Email,Low
50,2024-09-18,Delivery,Medium,178,50,7.1,Yes,Email,Low
51,2024-04-06,Other,Urgent,154,28,3.2,Yes,Phone,Low
52,2024-11-30,Delivery,Low,24,52,8.2,Yes,Chat,Medium
53,2024-03-28,Billing,Medium,191,7,3.9,No,Email,Low
54,2024-07-16,Other,Medium,79,26,2.8,Yes,Phone,Low
55,2024-01-03,Billing,Urgent,228,71,7.7,Yes,Email,Low
56,2024-02-04,Billing,Low,180,23,1.7,No,Phone,Low
57,2024-10-09,Technical,Urgent,194,24,6.4,Yes,Email,Low
58,2024-01-18,Delivery,Urgent,153,59,4.8,Yes,Phone,Low
59,2024-05-15,Account,Urgent,130,47,6.8,Yes,Email,Low
60,2024-09-25,Account,Low,122,2,2.0,Yes,Email,Medium
61,2024-01-02,Other,Low,142,16,3.2,No,Chat,Low
62,2024-11-20,Billing,Urgent,229,66,1.9,Yes,Phone,Low
63,2024-03-16,Account,Low,170,28,5.6,Yes,Phone,Low
64,2024-09-01,Account,Urgent,43,4,4.1,Yes,Chat,Low
65,2024-08-19,Technical,Urgent,49,19,0.8,Yes,Chat,Low
66,2024-03-26,Delivery,Urgent,44,6,5.2,No,Phone,Medium
67,2024-03-17,Account,High,59,64,5.4,No,Phone,Low
68,2024-09-27,Other,High,38,8,4.8,No,Email,Low
69,2024-03-06,Billing,Urgent,161,11,9.2,Yes,Email,Low
70,2024-02-22,Billing,High,116,29,6.8,Yes,Chat,Low
71,2024-11-18,Delivery,Urgent,114,40,2.2,Yes,Phone,Low
72,2024-04-21,Other,Medium,179,31,7.3,No,Phone,Medium
73,2024-02-04,Other,Urgent,180,50,8.0,Yes,Phone,Low
74,2024-08-21,Billing,Medium,223,69,1.7,No,Email,Low
75,2024-07-15,Technical,Low,121,23,6.8,No,Email,Medium
76,2024-08-01,Account,High,81,34,2.0,No,Chat,Low
77,2024-07-27,Account,Low,88,38,5.3,Yes,Chat,Low
78,2024-08-07,Billing,Medium,228,15,9.0,No,Email,Medium
79,2024-01-04,Other,Urgent,46,10,8.3,Yes,Phone,Low
80,2024-08-03,Billing,High,151,62,9.0,Yes,Chat,Low
81,2024-08-15,Delivery,Urgent,213,29,4.2,Yes,Phone,Low
82,2024-08-18,Technical,Urgent,183,54,3.3,Yes,Email,Low
